fragment_ID,timepoint,date_sampled,tank.num,treatment
ACR1_2,TP2,20220326,17,ambient
ACR2_2,TP2,20220326,14,ambient
ACR3_2,TP2,20220326,7,ambient
ACR4_2,TP2,20220326,24,ambient
ACR5_2,TP2,20220326,13,ambient
ACR6_2,TP2,20220326,9,ambient
ACR7_2,TP2,20220326,3,ambient
ACR8_2,TP2,20220326,19,ambient
ACR9_2,TP2,20220326,21,ambient
ACR10_2,TP2,20220326,5,ambient
ACR11_2,TP2,20220326,1,ambient
ACR12_2,TP2,20220326,11,ambient
ACR13_2,TP2,20220326,10,hot
ACR14_2,TP2,20220326,8,hot
ACR15_2,TP2,20220326,20,hot
ACR16_2,TP2,20220326,18,hot
ACR17_2,TP2,20220326,4,hot
ACR18_2,TP2,20220326,22,hot
ACR19_2,TP2,20220326,16,hot
ACR20_2,TP2,20220326,2,hot
ACR21_2,TP2,20220326,15,hot
ACR22_2,TP2,20220326,12,hot
ACR23_2,TP2,20220326,23,hot
ACR24_2,TP2,20220326,6,hot
