fragment_ID,timepoint,date_sampled,tank.num,treatment
ACR1_4,TP4,20220410,17,ambient
ACR2_4,TP4,20220410,14,ambient
ACR3_4,TP4,20220410,7,ambient
ACR4_4,TP4,20220410,24,ambient
ACR5_4,TP4,20220410,13,ambient
ACR6_4,TP4,20220410,9,ambient
ACR7_4,TP4,20220410,3,ambient
ACR8_4,TP4,20220410,19,ambient
ACR9_4,TP4,20220410,21,ambient
ACR10_4,TP4,20220410,5,ambient
ACR11_4,TP4,20220410,1,ambient
ACR12_4,TP4,20220410,11,ambient
ACR13_4,TP4,20220410,10,hot
ACR14_4,TP4,20220410,8,hot
ACR15_4,TP4,20220410,20,hot
ACR16_4,TP4,20220410,18,hot
ACR17_4,TP4,20220410,4,hot
ACR18_4,TP4,20220410,22,hot
ACR19_4,TP4,20220410,16,hot
ACR20_4,TP4,20220410,2,hot
ACR21_4,TP4,20220410,15,hot
ACR22_4,TP4,20220410,12,hot
ACR23_4,TP4,20220410,23,hot
ACR24_4,TP4,20220410,6,hot
