Meas.Temp,Treatment.Temp,Cohort,N,Mean_R,SE_R
27,ambient,1020,10,0.005218023000129993,0.002268559094191467
27,ambient,1021,10,0.01625969837839249,0.0037717650858696532
27,ambient,1023,10,0.006971356306393266,0.0030862837080718967
27,ambient,1024,10,0.02250634968644571,0.007449731466218698
27,hot,1018,10,0.0027984537441010718,0.0014669055150563176
27,hot,1022,10,0.00806371430127526,0.004398275547734037
27,wildtype,1018,10,0.001611463146727552,6.760482913696263e-4
27,wildtype,1020,10,0.004669823131585221,0.0016836584696915517
27,wildtype,1021,10,0.022586644260457783,0.0050777104750189
27,wildtype,1022,10,0.005072969541551396,0.002141562122880915
27,wildtype,1023,10,0.00546590459194358,0.002161690747334425
30,ambient,1020,10,0.008957071783806978,0.0024881930864762707
30,ambient,1021,10,0.011651107117907034,0.0035068009328899554
30,ambient,1023,10,0.006574657555312795,0.0023082873833759755
30,ambient,1024,10,0.01495998903382831,0.005603005848488449
30,hot,1018,10,0.011528412687616098,0.004496522725887346
30,hot,1022,10,0.013407948081110715,0.004307502145478956
30,wildtype,1018,10,0.01580358136688632,0.004581892314786655
30,wildtype,1020,10,0.004870850296974253,0.00182038724532898
30,wildtype,1021,10,0.019560753759976617,0.004638460298369322
30,wildtype,1022,10,0.011229169669555332,0.003832656904851559
30,wildtype,1023,10,0.004101800514377323,0.0019129863130742972
