fragment_ID,Sample,Diameter,weight1.g,weight2.g,timepoint
1,Standard,7.44,140.4,146,JAN
2,Standard,6.22,93.271,96.842,JAN
3,Standard,5.08,46.368,48.827,JAN
4,Standard,3.16,10.977,11.685,JAN
5,Standard,2.52,6.212,6.59,JAN
6,Standard,1.9,2.204,2.411,JAN
7,Standard,1.18,0.577,0.649,JAN
ACR1_4,coral,NA,2.21,2.51,TP4
ACR2_4,coral,NA,5.33,6.22,TP4
ACR3_4,coral,NA,5.71,6.34,TP4
ACR4_4,coral,NA,6.13,6.53,TP4
ACR5_4,coral,NA,2.47,2.85,TP4
ACR6_4,coral,NA,7.45,7.93,TP4
ACR7_4,coral,NA,4.03,4.54,TP4
ACR8_4,coral,NA,4.5,4.83,TP4
ACR9_4,coral,NA,2.01,2.27,TP4
ACR10_4,coral,NA,3.19,3.64,TP4
ACR11_4,coral,NA,2.7,3.07,TP4
ACR12_4,coral,NA,3.34,3.84,TP4
ACR13_4,coral,NA,2.27,2.59,TP4
ACR14_4,coral,NA,4.07,4.75,TP4
ACR15_4,coral,NA,4.3,5.07,TP4
ACR16_4,coral,NA,1.38,1.61,TP4
ACR17_4,coral,NA,2.74,3.31,TP4
ACR18_4,coral,NA,6.48,7.15,TP4
ACR19_4,coral,NA,2.77,3.14,TP4
ACR20_4,coral,NA,13.05,14.18,TP4
ACR21_4,coral,NA,1.66,1.89,TP4
ACR22_4,coral,NA,5.52,6.03,TP4
ACR23_4,coral,NA,3.53,4.07,TP4
ACR24_4,coral,NA,3.53,4.08,TP4
