Measurement Name :,20221030_SDR641_AMB_WT_COHORT1023,,Generated On :,"30/10/2022, 14:19:50",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0007000641      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 045

Ref LED current   : 095

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"30/10/2022, 13:56:27",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"30/10/2022, 14:18:53",,,,,,O2_cal0 [°],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,Adjustment at ,27, °C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [°C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [[%] Air Saturation],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,46.59,46.5,46.57,47.12,46.63,46.5,46.58,46.67,46.64,46.6,46.63,46.56,46.63,46.55,46.58,46.61,46.49,46.71,46.56,47.05,46.64,46.67,46.61,46.49,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
30.10.22 13:56:29,0.03,98.07,100.15,91.22,93.15,93.21,96.78,91.22,92.01,100.3,90.19,86.56,93.55,94.97,90.81,100,84.45,88.73,93.15,86.65,89.85,89.71,96.42,88.73,73.49,,27,965,36,26.05,
30.10.22 13:56:44,0.28,98.37,100.59,91.51,92.84,93.5,96.78,91.22,92.01,100.45,90.62,86.41,93.69,95.7,91.24,100,84.31,89.16,92.86,86.8,90.16,89.86,96.57,88.88,73.22,,27,965,36,26.04,
30.10.22 13:56:59,0.53,98.22,100.44,91.37,92.69,93.5,96.92,91.07,91.72,100.3,90.33,86.41,93.11,95.41,90.81,99.7,83.88,88.87,92.27,86.51,89.7,89.86,96.42,88.45,72.82,,27,965,36,26.03,
30.10.22 13:57:14,0.78,98.52,100.59,91.37,92.38,93.79,97.07,91.07,91.42,100.6,90.62,86.56,92.97,95.85,90.95,100,83.6,89.01,92.27,86.65,89.4,89.86,96.57,88.45,72.95,,27,965,36,26.04,
30.10.22 13:57:29,1.03,98.81,100.59,91.51,92.38,93.94,97.07,91.22,91.42,101.05,90.91,86.7,92.97,96,90.95,99.85,83.32,88.87,91.98,86.65,89.55,89.71,96.72,88.73,72.82,,27,965,36,26.04,
30.10.22 13:57:44,1.28,98.67,100.74,91.37,91.92,93.79,96.92,91.22,91.13,100.75,90.47,86.41,92.82,95.85,90.95,100.15,82.61,89.01,91.24,86.65,89.1,89.71,96.72,88.3,72.41,,27,965,36,26.05,
