temp,Date,Time
26.94,6/5/16,07:15:00 - AM
27.21,5/5/16,11:00:00 - PM
27.21,6/5/16,03:45:00 - AM
27.21,6/5/16,04:00:00 - AM
27.53,10/12/15,04:45:00 - AM
27.53,12/15/15,04:15:00 - AM
27.53,12/15/15,04:30:00 - AM
27.53,12/15/15,06:45:00 - AM
27.53,1/22/16,02:45:00 - AM
27.53,3/5/16,05:15:00 - AM
27.53,5/5/16,10:15:00 - PM
27.53,6/5/16,08:15:00 - AM
27.53,6/5/16,10:00:00 - PM
27.53,6/5/16,10:15:00 - PM
27.53,6/5/16,10:30:00 - PM
27.53,6/5/16,10:45:00 - PM
27.85,9/12/15,06:15:00 - PM
27.85,10/12/15,08:45:00 - PM
27.85,10/12/15,09:00:00 - PM
27.85,10/12/15,09:15:00 - PM
27.85,11/12/15,01:15:00 - AM
27.85,11/12/15,01:45:00 - AM
27.85,11/12/15,09:00:00 - PM
27.85,11/12/15,10:30:00 - PM
27.85,12/12/15,03:45:00 - AM
27.85,12/12/15,04:00:00 - AM
27.85,12/12/15,04:15:00 - AM
27.85,12/12/15,06:00:00 - AM
27.85,12/13/15,09:00:00 - PM
27.85,12/13/15,09:15:00 - PM
27.85,12/15/15,07:15:00 - PM
27.85,12/15/15,07:45:00 - PM
27.85,12/15/15,11:00:00 - PM
27.85,12/15/15,11:15:00 - PM
27.85,12/15/15,11:30:00 - PM
27.85,12/17/15,12:45:00 - AM
27.85,12/17/15,01:00:00 - AM
27.85,12/17/15,01:15:00 - AM
27.85,12/17/15,01:30:00 - AM
27.85,12/17/15,01:45:00 - AM
27.85,12/17/15,02:30:00 - AM
27.85,12/18/15,06:30:00 - AM
27.85,12/18/15,08:30:00 - PM
27.85,12/19/15,12:00:00 - AM
27.85,12/19/15,12:15:00 - AM
27.85,12/19/15,06:00:00 - AM
27.85,12/20/15,05:00:00 - AM
27.85,12/20/15,05:15:00 - AM
27.85,12/20/15,07:30:00 - PM
27.85,12/20/15,08:45:00 - PM
27.85,12/20/15,09:00:00 - PM
27.85,12/21/15,03:30:00 - AM
27.85,12/21/15,06:15:00 - AM
27.85,12/21/15,06:30:00 - AM
27.85,12/22/15,07:00:00 - PM
27.85,12/24/15,03:00:00 - AM
27.85,12/24/15,03:15:00 - AM
27.85,12/24/15,06:45:00 - AM
27.85,12/25/15,12:30:00 - AM
27.85,12/25/15,01:30:00 - AM
27.85,12/25/15,01:45:00 - AM
27.85,12/25/15,02:00:00 - AM
27.85,12/26/15,12:00:00 - AM
27.85,12/26/15,12:15:00 - AM
27.85,12/26/15,12:30:00 - AM
27.85,12/26/15,12:45:00 - AM
27.85,12/30/15,10:00:00 - PM
27.85,12/31/15,06:30:00 - AM
27.85,12/31/15,06:45:00 - AM
27.85,1/1/16,01:00:00 - AM
27.85,1/1/16,01:15:00 - AM
27.85,8/1/16,12:00:00 - AM
27.85,8/1/16,12:15:00 - AM
27.85,8/1/16,12:30:00 - AM
27.85,8/1/16,05:00:00 - AM
27.85,8/1/16,05:15:00 - AM
27.85,8/1/16,06:15:00 - AM
27.85,8/1/16,06:30:00 - AM
27.85,8/1/16,10:45:00 - PM
27.85,9/1/16,05:00:00 - AM
27.85,9/1/16,05:15:00 - AM
27.85,9/1/16,05:30:00 - AM
27.85,9/1/16,05:45:00 - AM
27.85,9/1/16,06:00:00 - AM
27.85,10/1/16,03:30:00 - AM
27.85,10/1/16,03:45:00 - AM
27.85,1/21/16,04:45:00 - AM
27.85,1/22/16,07:45:00 - AM
27.85,2/5/16,05:30:00 - AM
27.85,3/5/16,01:00:00 - AM
27.85,3/5/16,01:15:00 - AM
27.85,3/5/16,01:30:00 - AM
27.85,3/5/16,07:15:00 - PM
27.85,3/5/16,10:30:00 - PM
27.85,4/5/16,05:45:00 - AM
27.85,4/5/16,06:00:00 - AM
27.85,4/5/16,06:15:00 - AM
27.85,4/5/16,06:30:00 - AM
27.85,7/5/16,12:45:00 - AM
27.85,7/5/16,04:15:00 - AM
27.85,7/5/16,04:30:00 - AM
27.85,7/5/16,04:45:00 - AM
27.85,7/5/16,05:00:00 - AM
27.85,7/5/16,08:30:00 - AM
27.85,9/5/16,07:00:00 - AM
27.85,9/5/16,07:15:00 - AM
27.85,9/5/16,08:15:00 - AM
28.27,10/12/15,05:15:00 - PM
28.27,12/12/15,04:45:00 - PM
28.27,12/13/15,06:45:00 - PM
28.27,12/14/15,08:15:00 - AM
28.27,12/19/15,06:15:00 - PM
28.27,12/21/15,06:00:00 - PM
28.27,12/22/15,02:15:00 - PM
28.27,12/23/15,06:45:00 - PM
28.27,12/24/15,07:00:00 - PM
28.27,12/25/15,12:45:00 - PM
28.27,12/28/15,07:00:00 - AM
28.27,12/29/15,10:00:00 - PM
28.27,12/31/15,10:00:00 - PM
28.27,2/1/16,05:15:00 - AM
28.27,2/1/16,05:30:00 - AM
28.27,2/1/16,05:45:00 - AM
