name	term	lev	seq	value
"NAD+-protein-arginine ADP-ribosyltransferase activity"	GO:0106274;GO:0003956	3	TRINITY_DN451656_c0_g1	0.482243081472189
"intramolecular transferase activity"	GO:0016866	2	TRINITY_DN4181_c0_g1	0.047545125374937
"intramolecular transferase activity"	GO:0016866	2	TRINITY_DN8192_c0_g1	0.159960947586311
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN100295_c0_g1	-1.09812584056678
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN100801_c0_g1	-0.697612495847929
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN1013_c0_g1	-0.306977810620669
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN101429_c1_g1	0.584315403701202
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN10159_c0_g1	-0.183985472951156
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN101_c0_g1	0.433018009252254
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN102526_c0_g1	0.504415992823075
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN10255_c0_g1	0.106211137457163
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN10468_c1_g1	-0.453758805550983
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN1047_c0_g1	-0.179380913900719
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN10483_c7_g1	-0.474138504269036
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN10551_c0_g1	1.6156380010415
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN108418_c0_g1	-0.364997886867139
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN11047_c0_g1	0.241212735277786
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN110926_c0_g1	0.0258714589860197
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN11136_c0_g1	-0.332123375326746
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN11140_c0_g1	0.197982752894409
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN11158_c0_g1	-0.38782086644284
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN11359_c0_g1	0.0751494250901461
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN11538_c0_g1	0.00416751066365543
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN11616_c0_g1	0.38833074963745
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN11731_c0_g1	0.395010966800272
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN117384_c0_g1	0.418782465518089
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN11880_c0_g1	0.0901417972166184
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN11902_c0_g2	-0.783254423211353
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN12017_c0_g1	0.129487944876948
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN12054_c1_g1	-1.20905045733356
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN1207_c0_g1	-0.254821270414046
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN122094_c0_g1	-0.631789564463554
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN12292_c1_g1	-0.383918849104105
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN12338_c0_g1	-0.440292087174905
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN12467_c0_g1	-0.777102647741548
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN1259_c0_g1	-0.973266258186737
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN12852_c0_g2	-0.17983034806802
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN12892_c0_g2	-1.55723065069517
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN12932_c0_g1	-0.167962490413633
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN13004_c0_g1	-0.0445709697769559
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN1305_c1_g1	-0.140485734863976
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN132147_c0_g2	-0.284068471885327
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN132994_c0_g3	-0.253151556739139
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN13404_c0_g1	-0.708620326398572
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN1340_c1_g1	-0.0139322253973814
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN1349_c0_g1	-2.13097177876966
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN13747_c1_g1	0.362833446801841
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN13873_c0_g1	-0.831880812651897
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN13951_c0_g1	-0.459378207684914
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN13963_c0_g1	1.33667792535379
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN1397_c0_g1	-0.0419498239721024
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN1411_c3_g1	0.169298522354857
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN141_c0_g1	0.329552637415252
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN14201_c0_g1	-0.389541173110704
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN143545_c0_g2	-0.354738105848914
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN143_c0_g1	-0.00362688341152696
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN143_c2_g1	-1.46875851391636
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN146211_c0_g1	-1.44877922091729
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN14702_c0_g1	-0.0983628348747396
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN14737_c0_g1	-0.0569451307071505
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN14807_c0_g1	0.256804501398722
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN14885_c0_g1	0.000121578987309894
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN14940_c0_g1	1.08135371949698
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN15242_c0_g1	0.474436983795267
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN1559_c0_g1	-0.260694097648766
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN1565_c0_g1	-0.326332598187895
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN156901_c0_g1	-0.125099156223002
"organic cyclic compound binding"	GO:0097159;GO:1901363	2	TRINITY_DN15696_c0_g1	0.48199424279859
