fragment_ID,Sample,Diameter,weight1.g,weight2.g,timepoint
1,Standard,7.44,140.4,146,JAN
2,Standard,6.22,93.271,96.842,JAN
3,Standard,5.08,46.368,48.827,JAN
4,Standard,3.16,10.977,11.685,JAN
5,Standard,2.52,6.212,6.59,JAN
6,Standard,1.9,2.204,2.411,JAN
7,Standard,1.18,0.577,0.649,JAN
ACR1_3,coral,NA,3.119,3.387,TP3
ACR2_3,coral,NA,1.932,2,TP3
ACR3_3,coral,NA,3.042,3.489,TP3
ACR4_3,coral,NA,3.503,3.823,TP3
ACR5_3,coral,NA,2.235,2.724,TP3
ACR6_3,coral,NA,5.52,5.953,TP3
ACR7_3,coral,NA,4.241,4.547,TP3
ACR8_3,coral,NA,6.354,6.831,TP3
ACR9_3,coral,NA,11.553,12.166,TP3
ACR10_3,coral,NA,5.393,5.972,TP3
ACR11_3,coral,NA,3.801,4.372,TP3
ACR12_3,coral,NA,4.44,5.137,TP3
ACR13_3,coral,NA,4.496,4.502,TP3
ACR14_3,coral,NA,3.237,3.786,TP3
ACR15_3,coral,NA,2.473,2.911,TP3
ACR16_3,coral,NA,5.808,6.281,TP3
ACR17_3,coral,NA,4.197,4.976,TP3
ACR18_3,coral,NA,3.289,3.828,TP3
ACR19_3,coral,NA,3.531,4.085,TP3
ACR20_3,coral,NA,5.997,7.017,TP3
ACR21_3,coral,NA,4.189,4.774,TP3
ACR22_3,coral,NA,1.516,1.75,TP3
ACR23_3,coral,NA,2.31,2.658,TP3
ACR24_3,coral,NA,2.076,2.553,TP3
