fragment_ID,Sample,Diameter,weight1.g,weight2.g,timepoint
1,Standard,7.44,140.4,146,JAN
2,Standard,6.22,93.271,96.842,JAN
3,Standard,5.08,46.368,48.827,JAN
4,Standard,3.16,10.977,11.685,JAN
5,Standard,2.52,6.212,6.59,JAN
6,Standard,1.9,2.204,2.411,JAN
7,Standard,1.18,0.577,0.649,JAN
ACR1_5,coral,NA,5.69,6.35,TP5
ACR2_5,coral,NA,5.3,5.88,TP5
ACR3_5,coral,NA,3.92,4.3,TP5
ACR4_5,coral,NA,4.89,5.38,TP5
ACR5_5,coral,NA,5.13,5.9,TP5
ACR6_5,coral,NA,5.83,6.55,TP5
ACR7_5,coral,NA,3.04,3.49,TP5
ACR8_5,coral,NA,3.55,3.95,TP5
ACR9_5,coral,NA,2.73,3.05,TP5
ACR10_5,coral,NA,3.68,4.33,TP5
ACR11_5,coral,NA,2.97,3.43,TP5
ACR12_5,coral,NA,2.64,3,TP5
ACR13_5,coral,NA,3.07,3.3,TP5
ACR14_5,coral,NA,5.33,6.21,TP5
ACR15_5,coral,NA,4.01,4.64,TP5
ACR16_5,coral,NA,1.33,1.6,TP5
ACR17_5,coral,NA,3.48,4.04,TP5
ACR18_5,coral,NA,7.21,8.53,TP5
ACR19_5,coral,NA,4.37,4.93,TP5
ACR20_5,coral,NA,13.64,14.73,TP5
ACR21_5,coral,NA,1.4,1.59,TP5
ACR22_5,coral,NA,8.97,9.49,TP5
ACR23_5,coral,NA,5.2,5.47,TP5
ACR24_5,coral,NA,3.77,4.42,TP5
