fragment_ID,timepoint,date_sampled,tank.num,treatment
ACR1_5,TP5,20220418,17,ambient
ACR2_5,TP5,20220418,14,ambient
ACR3_5,TP5,20220418,7,ambient
ACR4_5,TP5,20220418,24,ambient
ACR5_5,TP5,20220418,13,ambient
ACR6_5,TP5,20220418,9,ambient
ACR7_5,TP5,20220418,3,ambient
ACR8_5,TP5,20220418,19,ambient
ACR9_5,TP5,20220418,21,ambient
ACR10_5,TP5,20220418,5,ambient
ACR11_5,TP5,20220418,1,ambient
ACR12_5,TP5,20220418,11,ambient
ACR13_5,TP5,20220418,10,hot
ACR14_5,TP5,20220418,8,hot
ACR15_5,TP5,20220418,20,hot
ACR16_5,TP5,20220418,18,hot
ACR17_5,TP5,20220418,4,hot
ACR18_5,TP5,20220418,22,hot
ACR19_5,TP5,20220418,16,hot
ACR20_5,TP5,20220418,2,hot
ACR21_5,TP5,20220418,15,hot
ACR22_5,TP5,20220418,12,hot
ACR23_5,TP5,20220418,23,hot
ACR24_5,TP5,20220418,6,hot
