fragment_ID,timepoint,date_sampled,tank.num,treatment
ACR1_3,TP3,20220331,17,ambient
ACR2_3,TP3,20220331,14,ambient
ACR3_3,TP3,20220331,7,ambient
ACR4_3,TP3,20220331,24,ambient
ACR5_3,TP3,20220331,13,ambient
ACR6_3,TP3,20220331,9,ambient
ACR7_3,TP3,20220331,3,ambient
ACR8_3,TP3,20220331,19,ambient
ACR9_3,TP3,20220331,21,ambient
ACR10_3,TP3,20220331,5,ambient
ACR11_3,TP3,20220331,1,ambient
ACR12_3,TP3,20220331,11,ambient
ACR13_3,TP3,20220331,10,hot
ACR14_3,TP3,20220331,8,hot
ACR15_3,TP3,20220331,20,hot
ACR16_3,TP3,20220331,18,hot
ACR17_3,TP3,20220331,4,hot
ACR18_3,TP3,20220331,22,hot
ACR19_3,TP3,20220331,16,hot
ACR20_3,TP3,20220331,2,hot
ACR21_3,TP3,20220331,15,hot
ACR22_3,TP3,20220331,12,hot
ACR23_3,TP3,20220331,23,hot
ACR24_3,TP3,20220331,6,hot
