date.sample.taken,cohort,ID,treatment,dpf,time,tube.num,rep,type,number.of.sample,preservation.type,experiment,storage,notes
20221029,20221023,C1,ambient,6,17:00,260,1,LARVAE,50,RNA/DNA shield,heatwave larval timeseries,"URI freezer G, first row, rack z",
20221029,20221023,C1,ambient,6,17:00,261,2,LARVAE,50,RNA/DNA shield,heatwave larval timeseries,"URI freezer G, first row, rack z",
20221029,20221023,C1,ambient,6,17:00,262,3,LARVAE,50,RNA/DNA shield,heatwave larval timeseries,"URI freezer G, first row, rack z",
20221029,20221023,D3,heatwave,6,17:00,248,1,LARVAE,50,RNA/DNA shield,heatwave larval timeseries,"URI freezer G, first row, rack z",
20221029,20221023,D3,heatwave,6,17:00,249,2,LARVAE,50,RNA/DNA shield,heatwave larval timeseries,"URI freezer G, first row, rack z",
20221029,20221023,D3,heatwave,6,17:00,250,3,LARVAE,50,RNA/DNA shield,heatwave larval timeseries,"URI freezer G, first row, rack z",
20220418,NA,ACR_5_5,ambient,TP5,NA,ACR_5_5_20220418,1,ADULT,~0.5cm diameter tissue,RNA/DNA shield,heatwave timeseries timepoint 5,"URI freezer G, first row, rack z",
20220418,NA,ACR_8_5,ambient,TP5,NA,ACR_8_5_20220418,1,ADULT,~0.5cm diameter tissue,RNA/DNA shield,heatwave timeseries timepoint 5,"URI freezer G, first row, rack z",
20220418,NA,ACR_12_5,ambient,TP5,NA,ACR_12_5_20220418,1,ADULT,~0.5cm diameter tissue,RNA/DNA shield,heatwave timeseries timepoint 5,"URI freezer G, first row, rack z",
20220418,NA,ACR_16_5,heatwave,TP5,NA,ACR_16_5_20220418,1,ADULT,~0.5cm diameter tissue,RNA/DNA shield,heatwave timeseries timepoint 5,"URI freezer G, first row, rack z",
20220418,NA,ACR_20_5,heatwave,TP5,NA,ACR_20_5_20220418,1,ADULT,~0.5cm diameter tissue,RNA/DNA shield,heatwave timeseries timepoint 5,"URI freezer G, first row, rack z",
20220418,NA,ACR_24_5,heatwave,TP5,NA,ACR_24_5_20220418,1,ADULT,~0.5cm diameter tissue,RNA/DNA shield,heatwave timeseries timepoint 5,"URI freezer G, first row, rack z",
